age,famrel,G1,G2,G3,sex_F,famsize_GT3,famsize_LE3,paid_no,nursery_yes,higher_no,internet_yes,romantic_no,romantic_yes,Mjob_services,Fjob_health,reason_course,reason_home,reason_other,guardian_father,Pass
17,4,14,15,15,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1
17,5,17,15,16,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
16,3,9,9,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0
17,4,18,18,18,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
16,4,9,9,10,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
16,4,16,16,16,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1
16,4,8,10,10,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,4,9,9,10,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17,5,7,6,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
16,5,10,10,11,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,4,10,9,9,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
16,2,7,7,7,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
16,1,11,12,13,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
16,4,9,9,10,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
17,4,7,7,7,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
19,4,8,8,8,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
17,5,12,12,13,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
16,3,12,13,14,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
18,4,6,7,8,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
17,5,8,10,10,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
17,4,14,15,15,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
17,3,6,6,4,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
18,3,6,6,8,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0
17,3,7,7,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
17,4,9,10,10,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
17,4,6,6,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
17,4,6,5,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
16,2,16,16,17,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
18,3,12,13,13,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
16,5,13,13,14,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
18,5,9,8,7,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
17,5,16,15,15,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
17,5,12,11,12,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1
18,4,10,8,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
17,3,12,10,12,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
17,3,13,13,14,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1
17,4,11,11,11,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
17,4,11,9,9,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
16,4,14,13,13,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
16,3,9,7,6,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
16,5,11,9,10,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
17,4,14,13,13,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
16,4,13,12,12,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
17,2,13,11,11,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
18,5,7,7,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
17,2,12,12,12,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1
17,3,10,11,12,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
16,5,6,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
16,5,13,12,12,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1
18,4,7,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
16,4,18,18,18,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1
17,5,12,12,13,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1
22,5,6,8,8,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0
18,4,3,5,5,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
16,4,13,15,15,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
18,4,6,8,8,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
16,5,7,10,10,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
18,3,6,9,8,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
16,3,8,9,8,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
17,4,8,12,12,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
17,4,7,9,8,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
17,4,14,12,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
19,4,11,11,11,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
18,5,15,14,14,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1
17,3,10,9,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0
18,3,17,18,18,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1
18,4,8,8,8,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
18,5,13,12,12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
17,3,10,9,9,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
18,4,9,10,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
18,4,17,17,17,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
17,5,9,9,10,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0
18,4,12,10,11,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
18,5,10,9,10,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
18,4,6,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
19,4,9,9,9,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
18,4,15,14,14,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1
18,4,11,11,11,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
17,3,15,14,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17,4,10,10,10,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
17,4,12,12,12,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
18,4,10,9,9,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0
18,3,9,9,9,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
18,2,9,8,8,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0
18,4,10,11,10,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
17,4,8,8,8,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
17,4,11,9,10,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0
18,5,12,12,12,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
18,5,8,9,10,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
17,5,10,9,11,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
17,4,12,10,11,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
18,4,18,18,19,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
17,4,13,12,12,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
18,4,15,14,14,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
18,5,15,13,15,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
18,4,12,11,11,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
17,4,15,15,15,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
18,5,12,12,13,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1
17,3,18,18,18,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
18,5,14,13,14,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
17,4,14,12,11,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
19,2,10,9,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
18,4,10,8,8,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
18,4,14,13,14,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
18,1,16,15,16,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
18,4,12,10,11,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
17,4,11,11,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0
17,4,15,12,14,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
17,5,17,17,18,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
19,4,15,14,13,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
18,4,14,12,12,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
20,5,17,18,18,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1
19,4,8,9,8,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
19,4,15,12,12,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
19,4,12,10,10,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
19,4,9,9,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
19,3,14,12,13,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1
19,4,13,11,11,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
19,4,13,10,11,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
19,4,15,13,13,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
19,4,13,11,11,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
18,5,8,8,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
18,4,9,10,9,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
17,4,11,11,10,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
18,4,11,11,11,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
17,5,13,13,13,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1
17,4,11,9,9,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
17,3,11,11,11,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
17,3,12,14,15,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
17,3,16,15,15,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1
18,4,9,12,11,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
17,4,14,15,16,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
17,4,11,10,10,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
17,5,10,9,9,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
17,4,14,14,14,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
18,4,9,8,8,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
17,4,12,14,14,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1
18,5,7,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
18,4,8,8,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
18,4,10,9,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
17,4,16,15,15,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1
19,5,14,13,13,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
17,4,7,8,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
18,5,16,15,17,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1
17,4,9,10,10,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
19,4,11,12,11,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
18,4,10,10,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0
18,4,16,15,15,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1
17,3,9,8,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
18,4,11,10,10,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
18,5,13,13,14,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1
18,5,16,15,16,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
18,5,10,10,9,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
17,4,13,15,15,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
18,2,11,13,13,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
19,5,8,7,8,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
17,4,13,13,13,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
18,4,8,7,8,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
19,4,8,8,8,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
17,4,13,11,11,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
18,5,10,9,9,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0
17,4,12,13,13,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
17,1,12,12,11,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
18,3,10,10,10,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
18,5,18,16,16,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1
18,4,13,13,13,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1
18,4,13,12,12,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1
18,4,11,11,10,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0
17,2,16,15,15,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
17,3,12,11,12,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
18,3,10,10,10,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
18,4,13,13,13,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
17,5,7,6,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
18,5,11,10,10,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
18,3,14,12,11,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
19,3,7,7,9,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0
18,4,14,12,12,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
17,3,13,11,11,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
17,3,6,5,5,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
18,5,19,18,19,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
18,4,8,8,10,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
20,5,15,14,15,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
18,5,8,9,10,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
18,4,15,15,15,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
17,4,10,10,10,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,3,15,14,14,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1
18,4,7,6,7,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
17,4,11,11,10,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0
19,4,6,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
18,5,6,5,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
18,5,10,9,10,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
18,4,6,5,6,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
19,5,7,5,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0
18,4,7,9,8,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
18,1,6,5,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
20,5,9,9,9,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
17,2,14,16,16,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
21,5,10,8,7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
18,4,11,12,10,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
19,3,8,9,9,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
